Branch Plant,Name,Latitude,Longitude,Address,City,State,Zip,Location Type,Network,BG Accuracy,Has BCC Associates,Serviced by CSC,Serviced by RDC,Direction
8330,"CW GRAND JUNCTION, CO",39.1086158752441,-108.622177124023,2324 GRAND PARK DR,GRAND JUNCTION,CO,81505,CW,SOW,ROOFTOP,No,8014,,SE mi 32.8293760451154
8509,"CW CRAIG, CO",40.5166816711426,-107.54695892334,621 YAMPA AVE,CRAIG,CO,81625,CW,SOW,ROOFTOP,No,8014,,NE mi 110.878037171994
8451,CW ROCK SPRINGS,41.5884323120117,-109.222450256348,154 ELK ST,ROCK SPRINGS,WY,82901,CW,SOW,ROOFTOP,No,8014,,N mi 149.822094430674
8056,CSC SALT LAKE CITY,40.7380561828613,-111.975303649902,3531 W 1500 S,SALT LAKE CITY,UT,84104,CSC,SOW,ROOFTOP,Yes,,8057,NW mi 178.156010443774
8014,CSC DENVER,39.7781715393066,-104.840911865234,13100 ALBROOK DR STE 500,DENVER,CO,80239,CSC,SOW,ROOFTOP,Yes,,8080,E mi 227.160035996107
8415,CW MEMORIAL CHAPEL FH & CREMATORY,42.8490715026855,-106.31608581543,710 E 2ND ST,CASPER,WY,82601,CW,SOW,ROOFTOP,No,8014,,NE mi 277.096567127706
8510,"CW KIMBALL, NE",41.2312393188477,-103.661262512207,609 S WALNUT ST,KIMBALL,NE,69145,CW,SOW,ROOFTOP,No,8014,,NE mi 311.728782372687
8045,CSC ALBUQUERQUE,35.1131782531738,-106.630508422852,2801 BROADBENT PKWY NE STE C,ALBUQUERQUE,NM,87107,CSC,SOW,ROOFTOP,Yes,,8080,SE mi 327.265728554161
8421,"CW SCOTTSBLUFF, NE",41.8734741210938,-103.67797088623,1102 W 27TH ST UNIT Z-22,SCOTTSBLUFF,NE,69361,CW,SOW,ROOFTOP,No,8014,,NE mi 330.082952647164
8503,"CW SHOW LOW, AZ",34.2551879882813,-110.018493652344,650 N PENROD RD,SHOW LOW,AZ,85901,CW,PAC,ROOFTOP,No,8043,,S mi 361.371326774015
8077,CSC LAS VEGAS,36.2417411804199,-115.09595489502,4434 MITCHELL ST,NORTH LAS VEGAS,NV,89081,CSC,PAC,ROOFTOP,Yes,,8057,SW mi 395.511890011933
8306,CW RAPID CITY,44.027587890625,-103.066345214844,14930 AVIATION RD,RAPID CITY,SD,57703,CW,SOW,ROOFTOP,No,8014,,NE mi 444.38354134419
8043,CSC PHOENIX,33.4582061767578,-112.215057373047,7225 W ROOSEVELT ST STE 160,PHOENIX,AZ,85043,CSC,PAC,ROOFTOP,Yes,,8057,SW mi 448.036233059913
8325,"CW NORTH PLATTE, NE",41.1374282836914,-100.767791748047,421 WEST 4TH ST,NORTH PLATTE,NE,69101,CW,SOW,ROOFTOP,No,8014,,E mi 454.073757337952
8326,"CW AMARILLO, TX",35.1830978393555,-101.879066467285,3602 MOCKINGBIRD,AMARILLO,TX,79109,CW,SOW,ROOFTOP,No,8027,,SE mi 492.701397267111
8517,TUCSON CW,32.2616767883301,-110.996467590332,1458 W. MIRACLE MILE,TUCSON,AZ,85705,CW,PAC,ROOFTOP,No,8043,,S mi 507.001073127064
8322,"CW ONTARIO, OR",44.0166320800781,-116.957763671875,482 SOUTHEAST 9TH AVENUE,ONTARIO,OR,97914,XD,PAC,ROOFTOP,Yes,8055,8006,NW mi 515.671553781259
8333,"CSC EL PASO, TX",31.7527256011963,-106.327705383301,"1477 LOMALAND, SUITE C-9",EL PASO,TX,79935,CSC,SOW,ROOFTOP,Yes,,8002,S mi 552.732265065697
8464,"CW GREAT FALLS, MT",47.4641075134277,-111.375839233398,4500 TRI HILL FRONTAGE RD,GREAT FALLS,MT,59404,CW,PAC,ROOFTOP,No,8053,,N mi 567.82484986486
8323,"CW LUBBOCK, TX",33.5913200378418,-101.843215942383,412 AVENUE G,LUBBOCK,TX,79401,CW,SOW,RANGE_INTERPOLATED,No,8076,,SE mi 569.410757550652
8017,CSC FRESNO,36.8171997070313,-119.891899108887,5631 N GOLDEN STATE BLVD #104,FRESNO,CA,93722,CSC,PAC,ROOFTOP,Yes,,8057,W mi 614.989238747701
8345,"CW PLAINVIEW, NE",42.3525314331055,-97.7944030761719,205 N ELM ST,PLAINVIEW,NE,68769,CW,SOW,ROOFTOP,No,8044,,E mi 623.276168211701
8057,RDC LOS ANGELES,33.8757476806641,-118.018859863281,14701 INDUSTRY CIR,LA MIRADA,CA,90638,RDC,PAC,ROOFTOP,Yes,,8057,SW mi 626.737536528974
8329,"CW HAYSVILLE, KS",37.5659675598145,-97.3301391601563,210 CAIN DR,HAYSVILLE,KS,67060,CW,MID,ROOFTOP,No,8008,,E mi 648.410239145069
8502,"CW KALISPELL, MT",48.1932640075684,-114.311264038086,525 MAIN ST,KALISPELL,MT,59901,CW,PAC,ROOFTOP,No,8055,,N mi 659.945622301678
8053,CW BISMARCK,46.7964630126953,-100.747802734375,813 BURLINGTON DR. UNIT #7,BISMARCK,ND,58504,XD,PAC,ROOFTOP,Yes,8303,8066,NE mi 660.246346686877
8019,CSC SACRAMENTO,38.5652656555176,-121.565353393555,3621 SEAPORT BLVD,WEST SACRAMENTO,CA,95691,CSC,PAC,ROOFTOP,Yes,,8057,W mi 673.352443190847
8414,CW BECKER FUNERAL HOME,34.6245346069336,-98.4053192138672,1502 NW FORT SILL BLVD,LAWTON,OK,73507,CW,SOW,ROOFTOP,No,8027,,SE mi 675.864189792609
8027,CSC OKLAHOMA CITY,35.4623680114746,-97.5906600952148,314 HUDIBURG CIRCLE,OKLAHOMA CITY,OK,73108,CSC,SOW,ROOFTOP,Yes,,8069,E mi 687.21006871721
8467,"CW OMAHA, NE",41.1622924804688,-96.1299209594727,9855 SOUTH 140TH ST UNIT# 4,OMAHA,NE,68138,CSC,SOW,ROOFTOP,Yes,8052,8066,E mi 692.982582797356
8094,SANTA MARIA CSC,34.915454864502,-120.460708618164,1360 W MCCOY LN STE 5,SANTA MARIA,CA,93455,XD,PAC,ROOFTOP,Yes,8057,8057,SW mi 699.88983800506
8304,CW SIOUX FALLS,43.6010894775391,-96.6764144897461,4920 N VELOCITY AVE,SIOUX FALLS,SD,57104,CSC,PAC,ROOFTOP,Yes,,8066,NE mi 703.405150969221
8055,CSC SPOKANE,47.5882835388184,-117.558044433594,10426 W AERO RD STE C,SPOKANE,WA,99224,CSC,PAC,ROOFTOP,Yes,,8006,NW mi 706.040501589428
8076,CSC ABILENE,32.3998718261719,-99.7528381347656,4261 OIL BELT LANE,ABILENE,TX,79605,CSC,SOW,RANGE_INTERPOLATED,Yes,,8002,SE mi 712.762533414669
8075,CSC HAYWARD,37.7065811157227,-122.151863098145,2964 ALVARADO STREET SUITE A-C,SAN LEANDRO,CA,94577,CSC,PAC,ROOFTOP,Yes,,8057,W mi 716.299320774455
8476,"CW TULSA, OK",36.1596527099609,-95.8025512695313,15528 EAST ADMIRAL,TULSA,OK,74116,XD,SOW,ROOFTOP,Yes,8027,8069,E mi 759.196195902461
8508,"CW YAKIMA, WA",46.6054267883301,-120.505493164063,201 N 2ND ST,YAKIMA,WA,98901,CW,PAC,ROOFTOP,No,8055,,NW mi 760.628849916214
8008,CSC KANSAS CITY,39.1008186340332,-94.3722991943359,345 S GEOSPACE DR,INDEPENDENCE,MO,64056,CSC,MID,ROOFTOP,Yes,,8066,E mi 787.066040981614
9105,DARINGER TRANSPORT,50.5138511657715,-104.608345031738,1990 INLAND DR,ZEHNER,SK,S0G 5K0,CSC,CAN,ROOFTOP,Yes,,8066,N mi 797.219185887656
8303,"CSC FARGO, ND",46.8741226196289,-96.8391799926758,100 36TH ST S STE 150,FARGO,ND,58103,CSC,PAC,ROOFTOP,Yes,,8066,NE mi 802.72600926102
8006,RDC PORTLAND,45.5695419311523,-122.557174682617,10101 NE ALDERWOOD RD. STE 5B,PORTLAND,OR,97220,RDC,PAC,ROOFTOP,Yes,,8057,NW mi 806.569967481266
8002,RDC DALLAS,32.800479888916,-97.0297393798828,3100 ROY ORR BLVD STE 120,GRAND PRAIRIE,TX,75050,RDC,SOW,ROOFTOP,Yes,,8002,SE mi 813.285489723574
8052,CSC DES MOINES,41.6367721557617,-93.777946472168,4161 120TH ST,URBANDALE,IA,50323,CSC,SOW,ROOFTOP,Yes,,8066,E mi 817.690275890844
8059,CSC MOUNT VERNON,37.114574432373,-93.8349609375,580 STATE DR,MOUNT VERNON,MO,65712,CSC,MID,ROOFTOP,Yes,8008,8066,E mi 842.045865643348
9196,CALGARY CSC,51.1218414306641,-114.042846679688,7924-10TH ST NE,CALGARY,AB,T2E 8W1,CSC,CAN,ROOFTOP,Yes,,8066,N mi 843.878102230618
8026,CSC SEATTLE,47.4009246826172,-122.245780944824,22449 72ND AVE S,KENT,WA,98032,CSC,PAC,ROOFTOP,Yes,,8006,NW mi 859.389081598986
8013,CSC MINNEAPOLIS,44.8512077331543,-93.1225204467773,"2945 LONE OAK DR, STE 180",EAGAN,MN,55121,CSC,PAC,ROOFTOP,Yes,,8066,NE mi 898.34256748224
8505,"CW DEKALB, TX",33.5121803283691,-94.6240005493164,624 W FRONT ST,DE KALB,TX,75559,CW,MID,ROOFTOP,No,8040,,SE mi 900.600452578864
8058,CSC SAN ANTONIO,29.6039924621582,-98.2914276123047,"17750 LOOKOUT ROAD, SUITE 180",SCHERTZ,TX,78154,CSC,SOW,ROOFTOP,Yes,,8002,SE mi 914.838041927
9183,WINNIPEG CSC,49.9083671569824,-97.2036285400391,991 CENTURY ST,WINNIPEG,MB,R3H 0W4,CSC,CAN,ROOFTOP,Yes,,8066,NE mi 928.842749697322
8334,"CW TEXARKANA, TX",33.4341354370117,-94.0536346435547,906 W 17TH ST,TEXARKANA,TX,75501,CW,MID,ROOFTOP,No,8040,,E mi 931.606435744895
9182,VANCOUVER CSC,49.1894607543945,-122.974807739258,8131 WIGGINS ST,BURNABY,BC,V3N 0C4,CSC,CAN,ROOFTOP,Yes,,8006,NW mi 961.105176069288
8040,CSC LITTLE ROCK,34.6764488220215,-92.377571105957,#2 MABELVALE DRIVE,LITTLE ROCK,AR,72209,CSC,MID,GEOMETRIC_CENTER,Yes,,8069,E mi 976.96996954602
8051,CSC SHREVEPORT,32.5488548278809,-93.6652755737305,4905 SHED RD,BOSSIER CITY,LA,71111,CSC,SOW,ROOFTOP,Yes,,8069,SE mi 983.164401160932
8007,CSC ST. LOUIS,38.7672996520996,-90.4727020263672,13884 PARKS STEED DR,EARTH CITY,MO,63045,CSC,SOW,ROOFTOP,Yes,,8066,E mi 998.095730171215
8001,CSC HOUSTON,29.9423713684082,-95.3235321044922,4660 WORLD HOUSTON PKWY STE 100,HOUSTON,TX,77032,CSC,SOW,ROOFTOP,Yes,,8002,SE mi 1018.83909783526
8012,CSC PEORIA,40.6554870605469,-89.6883163452148,5701 W SMITHVILLE RD STE 200,PEORIA,IL,61607,CSC,MID,ROOFTOP,Yes,,8066,E mi 1028.28478709132
8478,"CW CORPUS CHRISTI, TX",27.744758605957,-97.4482345581055,1161 HENDRICKS ST,CORPUS CHRISTI,TX,78417,CSC,SOW,ROOFTOP,Yes,8058,8002,SE mi 1047.78611123612
8512,"CW HAMBURG, AR",33.225399017334,-91.7956161499023,302 E LINCOLN ST,HAMBURG,AR,71646,CW,MID,ROOFTOP,No,8040,,E mi 1052.02493888641
8444,CW MCMIKLE COMMERCIAL WAREHOUSE,36.922550201416,-89.3511276245117,201 S CENTER ST,CHARLESTON,MO,63834,CW,SOE,ROOFTOP,No,8069,,E mi 1084.37942224943
8069,RDC MEMPHIS,35.0380401611328,-89.8912582397461,4030 WILLOW LAKE BLVD,MEMPHIS,TN,38118,RDC,SOE,ROOFTOP,Yes,,8069,E mi 1097.01303613459
8022,CSC CHICAGO SOUTH,41.7931632995605,-88.2669525146484,2121 DIEHL RD STE 141,AURORA,IL,60502,CSC,MID,ROOFTOP,Yes,,8066,E mi 1102.30554352886
8471,"CW MILWAUKEE, WI",43.0065803527832,-87.9816818237305,2085 S 55TH ST,WEST ALLIS,WI,53219,XD,MID,ROOFTOP,Yes,8022,8066,E mi 1122.12510698709
8301,"CW PALESTINE, IL",39.0056304931641,-87.741325378418,209 W MAIN ST,ROBINSON,IL,62454,CW,MID,ROOFTOP,No,8066,,E mi 1141.21871830505
8054,CSC GREEN BAY,44.4439163208008,-87.8524475097656,4667 STATE HIGHWAY 29 STE C,GREEN BAY,WI,54311,CSC,MID,ROOFTOP,Yes,8022,8066,NE mi 1142.26671896464
8369,PERLLERIN,30.3125305175781,-91.7899856567383,211 BERNARD ST,BREAUX BRIDGE,LA,70517,CW,SOW,GEOMETRIC_CENTER,No,8041,,SE mi 1163.03044295917
8332,"JACKSON, MS CSC",32.2419204711914,-90.1652526855469,1640 HIGHWAY 49 S,FLORENCE,MS,39073,CSC,SOE,RANGE_INTERPOLATED,Yes,,8069,E mi 1168.13658303434
